isbn,box,comments,date,is_disponible
9782253062929,145,,04/01/24,
9782265035997,145,,04/01/24,
9782253041894,145,,04/01/24,
9782266074575,145,,04/01/24,
9782266128193,145,,04/01/24,
9782253152637,145,,04/01/24,
9782277212614,145,,04/01/24,
9782266084376,145,,04/01/24,
9782264000712,145,,04/01/24,
9782070333103,145,,04/01/24,
9782266128469,145,,04/01/24,
9782266045018,145,,04/01/24,
9782266022507,145,,04/01/24,
9782277233961,145,,04/01/24,
9782253034926,145,,04/01/24,
9782743421410,145,,04/01/24,
9782743634667,145,,04/01/24,
9782253117957,145,,04/01/24,
9782038716504,145,,04/01/24,
9782253040699,145,,04/01/24,
9782277223962,145,,04/01/24,
9782227436183,145,,04/01/24,
9782298045383,145,,04/01/24,
9782700211184,145,,04/01/24,
9782266182584,145,,04/01/24,
9782211046602,145,,04/01/24,
9782501084949,145,,04/01/24,
9782246681519,145,,04/01/24,
9782732814018,145,,04/01/24,
9782903629557,145,,04/01/24,
9782246399513,145,,04/01/24,
9782213630380,145,,04/01/24,
9782020091787,145,,04/01/24,
9782911087547,145,,04/01/24,
9782906757554,145,,04/01/24,
9782211092869,146,,04/01/24,
9782709604543,146,,04/01/24,
9782715213814,146,,04/01/24,
9782246534822,146,,04/01/24,
9782226179296,146,,04/01/24,
9782070787562,146,,04/01/24,
9782810007820,146,,04/01/24,
9782298039337,146,,04/01/24,
9782909282329,146,,04/01/24,
9782204028639,146,,04/01/24,
9782709626361,146,,04/01/24,
9782841110438,146,,04/01/24,
9782226041289,146,,04/01/24,
9782258050297,146,,04/01/24,
9782714439635,146,,04/01/24,
9782878218497,146,,04/01/24,
9782878218817,146,,04/01/24,
9782878218213,146,,04/01/24,
9782286153335,146,,04/01/24,
9782259182027,146,,04/01/24,
9782902894666,146,,04/01/24,
9782702860007,146,,04/01/24,